iter	Logloss
0	0.6673076259
1	0.6434667924
2	0.6203190502
3	0.5984205813
4	0.5767335153
5	0.5602420144
6	0.5450896868
7	0.5275965882
8	0.5126416112
9	0.5004833075
10	0.4884318882
11	0.4755658401
12	0.4642884907
13	0.4538444462
14	0.4445384314
15	0.4358815288
16	0.4265656517
17	0.4205525492
18	0.4137683959
19	0.4084475683
20	0.4023749364
21	0.3956497114
22	0.3893314346
23	0.3833683496
24	0.3780672422
25	0.3725606558
26	0.3681356326
27	0.3645208597
28	0.3604618572
29	0.3565356036
30	0.3534513803
31	0.35107731
32	0.3476671041
33	0.344832061
34	0.3430228573
35	0.3412160237
36	0.3390104219
37	0.3363528409
38	0.3338243942
39	0.3316045229
40	0.3300372769
41	0.3283193271
42	0.3260530697
43	0.3241198718
44	0.3220982031
45	0.3204595628
46	0.3195580481
47	0.3188154478
48	0.3176852997
49	0.3159813532
50	0.3144319371
51	0.3134077774
52	0.3122609375
53	0.3114739971
54	0.3101062333
55	0.3088185197
56	0.3082267701
57	0.3072259426
58	0.3062071563
59	0.3058418733
60	0.30475753
61	0.3038957434
62	0.3030567449
63	0.3025143098
64	0.3019762233
65	0.3011863271
66	0.3004726342
67	0.2996630443
68	0.2988088198
69	0.2982639787
70	0.2978245416
71	0.2973531402
72	0.2969074825
73	0.2963793973
74	0.2960120493
75	0.2954162441
76	0.2948329076
77	0.2944786784
78	0.2938929767
79	0.2935964967
80	0.29289666
81	0.2924489643
82	0.2921886937
83	0.291647578
84	0.2911311265
85	0.2909124812
86	0.2904993834
87	0.28998259
88	0.2896012184
89	0.2890581023
90	0.2886029008
91	0.2882353437
92	0.2879288494
93	0.2875313282
94	0.2871653462
95	0.2867677826
96	0.2863711441
97	0.2860631302
98	0.2856509221
99	0.2852277577
100	0.2850382044
101	0.2847368087
102	0.2843632424
103	0.2841063128
104	0.2837369646
105	0.2835135977
106	0.2832952738
107	0.2829738702
108	0.2826396073
109	0.2824288481
110	0.2821159036
111	0.2818021876
112	0.281497008
113	0.2812343972
114	0.2809032078
115	0.2806115556
116	0.2802525305
117	0.2800109682
118	0.2798220531
119	0.2796433578
120	0.2794479821
121	0.2792647308
122	0.2788760077
123	0.2786165049
124	0.2783626384
125	0.278165224
126	0.2779517023
127	0.2777071503
128	0.2775109713
129	0.2772830567
130	0.277049545
131	0.2767814097
132	0.2765220747
133	0.2763134842
134	0.2760150497
135	0.2758340178
136	0.2756676557
137	0.2754708396
138	0.2752684268
139	0.2749922759
140	0.2747723128
141	0.2746127418
142	0.2744674193
143	0.2742715875
144	0.2740275618
145	0.2738414296
146	0.2736677776
147	0.2734439461
148	0.273265784
149	0.2731213802
150	0.2728880679
151	0.2726836077
152	0.2725082316
153	0.2723426309
154	0.2721815392
155	0.2719957275
156	0.2719281184
157	0.2717803674
158	0.2716241511
159	0.2714045264
160	0.2711746578
161	0.2709376353
162	0.2707296952
163	0.2705762087
