iter	Passed	Remaining
0	6	6491
1	13	6681
2	20	6856
3	27	6880
4	34	6826
5	41	6795
6	45	6496
7	51	6420
8	57	6348
9	63	6321
10	70	6314
11	76	6293
12	82	6254
13	87	6197
14	92	6105
15	97	6003
16	102	5902
17	106	5795
18	109	5676
19	113	5549
20	116	5425
21	119	5317
22	122	5210
23	125	5106
24	128	5007
25	131	4918
26	134	4838
27	137	4763
28	140	4697
29	143	4646
30	146	4586
31	149	4525
32	152	4471
33	155	4415
34	157	4352
35	160	4303
36	163	4257
37	166	4213
38	169	4181
39	172	4142
40	175	4106
41	178	4067
42	181	4034
43	185	4021
44	188	3999
45	191	3972
46	194	3940
47	197	3912
48	200	3899
49	204	3881
50	207	3865
51	210	3844
52	214	3824
53	216	3801
54	220	3783
55	223	3766
56	226	3747
57	229	3726
58	232	3707
59	235	3690
60	238	3673
61	241	3655
62	244	3638
63	247	3620
64	250	3602
65	253	3585
66	256	3567
67	258	3548
68	261	3531
69	264	3515
70	267	3502
71	270	3490
72	273	3476
73	276	3461
74	279	3447
75	282	3437
76	285	3426
77	288	3414
78	291	3400
79	294	3389
80	297	3378
81	300	3367
82	304	3361
83	307	3353
84	310	3345
85	313	3336
86	317	3329
87	320	3320
88	323	3310
89	326	3300
90	329	3290
91	332	3282
92	335	3274
93	339	3268
94	342	3264
95	346	3259
96	349	3256
97	353	3250
98	356	3243
99	359	3236
100	362	3229
101	365	3221
102	369	3214
103	372	3205
104	374	3195
105	378	3189
106	381	3187
107	384	3179
108	387	3170
109	390	3161
110	393	3153
111	396	3146
112	400	3141
113	403	3134
114	406	3129
115	409	3123
116	413	3118
117	416	3111
118	419	3105
119	422	3099
120	425	3092
121	428	3085
122	431	3079
123	435	3073
124	438	3067
125	441	3059
126	444	3052
127	447	3046
128	450	3040
129	453	3034
130	456	3027
131	459	3020
132	462	3013
133	465	3007
134	468	3001
135	471	2993
136	474	2986
137	477	2980
138	480	2976
139	483	2972
140	486	2965
141	489	2958
142	492	2952
143	495	2947
144	499	2944
145	502	2939
146	506	2936
147	509	2932
148	512	2928
149	516	2924
150	519	2919
151	522	2913
152	525	2907
153	528	2902
154	531	2896
155	534	2890
156	537	2884
157	540	2878
158	543	2872
159	546	2866
160	548	2860
161	551	2854
162	554	2848
163	557	2843
164	560	2838
165	563	2832
166	566	2826
167	569	2821
168	572	2816
169	576	2813
170	579	2810
171	582	2805
172	586	2801
173	589	2797
174	592	2793
175	595	2788
176	598	2784
177	602	2780
178	605	2775
179	608	2770
180	611	2766
181	614	2760
182	617	2755
183	620	2750
184	623	2745
185	626	2740
186	629	2736
187	632	2731
188	635	2725
189	638	2720
190	641	2716
191	644	2712
192	647	2706
193	650	2701
194	653	2696
195	656	2691
196	659	2687
197	662	2682
198	665	2677
199	668	2672
200	671	2667
201	674	2663
202	677	2659
203	680	2656
204	683	2651
205	686	2646
206	689	2641
207	692	2636
208	695	2633
209	699	2629
210	702	2625
211	705	2621
212	708	2616
213	711	2611
214	714	2607
215	716	2602
216	719	2597
217	722	2593
218	726	2589
219	729	2586
220	732	2581
221	735	2576
222	738	2572
223	741	2567
224	744	2563
225	747	2559
226	750	2555
227	753	2550
228	756	2545
229	759	2541
230	762	2537
231	765	2533
232	768	2530
233	771	2525
234	774	2521
235	777	2517
236	780	2513
237	783	2510
238	787	2505
239	789	2501
240	792	2496
241	795	2492
242	798	2488
243	801	2484
244	804	2479
245	807	2475
246	810	2470
247	813	2467
248	816	2462
249	819	2457
250	822	2453
251	826	2452
252	829	2449
253	832	2446
254	836	2443
255	839	2438
256	842	2435
257	845	2431
258	848	2427
259	851	2422
260	854	2418
261	857	2415
262	860	2411
263	863	2406
264	866	2402
265	869	2397
266	871	2393
267	875	2390
268	878	2386
269	881	2382
270	884	2378
271	887	2375
272	890	2371
273	893	2367
274	896	2363
275	899	2359
276	902	2355
277	905	2351
278	908	2348
279	911	2344
280	914	2341
281	917	2336
282	920	2332
283	923	2328
284	927	2325
285	930	2322
286	933	2318
287	936	2314
288	939	2310
